IP Address,Subnet Display Name,Subnet Address,Subnet CIDR,Subnet Mask
10.221.48.64,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.65,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.66,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.67,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.68,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.69,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.70,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.71,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.72,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.73,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.74,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.75,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.76,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.77,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.78,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.79,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.80,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.81,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.82,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.83,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.84,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.85,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.86,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.87,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.88,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.89,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.90,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.91,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.92,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.93,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.94,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.95,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.96,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.97,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.98,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.99,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.100,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.101,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.102,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.103,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.104,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.105,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.106,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.107,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.108,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.109,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.110,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.111,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.112,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.113,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.114,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.115,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.116,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.117,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.118,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.119,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.120,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.121,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.122,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.123,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.124,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.125,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.126,US-NY,10.221.48.64,26,255.255.255.192
10.221.48.127,US-NY,10.221.48.64,26,255.255.255.192
