IP Address,Subnet Display Name,Subnet Address,Subnet CIDR,Subnet Mask
10.223.48.0,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.1,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.2,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.3,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.4,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.5,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.6,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.7,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.8,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.9,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.10,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.11,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.12,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.13,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.14,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.15,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.16,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.17,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.18,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.19,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.20,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.21,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.22,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.23,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.24,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.25,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.26,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.27,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.28,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.29,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.30,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.31,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.32,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.33,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.34,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.35,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.36,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.37,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.38,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.39,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.40,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.41,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.42,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.43,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.44,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.45,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.46,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.47,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.48,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.49,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.50,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.51,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.52,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.53,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.54,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.55,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.56,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.57,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.58,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.59,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.60,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.61,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.62,US-TX,10.223.48.0,26,255.255.255.192
10.223.48.63,US-TX,10.223.48.0,26,255.255.255.192
