IP Address,MAC Address,Hostname,DHCP Client Name,System Name,Description,Contact,System Location,Vendor,Machine Type,Comments,Response Time,Last Boot Time,Last Synchronization,Status,System Object ID,Type,Skip Scan,Alias,Lease Expiration,Dual Stack IPv6 Address,Subnet Display Name,Subnet Address,Subnet CIDR,Subnet Mask
10.10.13.0,,,,,,,,,,Subnet Address,,,,Reserved,,Static,Yes,,,,CO-11thflr-DATA-102,10.10.13.0,24,255.255.255.0
10.10.13.1,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.1,24,255.255.255.0
10.10.13.2,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.2,24,255.255.255.0
10.10.13.3,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.3,24,255.255.255.0
10.10.13.4,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.4,24,255.255.255.0
10.10.13.5,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.5,24,255.255.255.0
10.10.13.6,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.6,24,255.255.255.0
10.10.13.7,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.7,24,255.255.255.0
10.10.13.8,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.8,24,255.255.255.0
10.10.13.9,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.9,24,255.255.255.0
10.10.13.10,00-26-73-CB-87-A0,,,MP C3504,RICOH MP C3504 1.09 / RICOH Network Printer C model / RICOH Network Scanner C model / RICOH Network Facsimile C model,,,"RICOH COMPANY,LTD.",RICOH Co. Ltd.,,35,2/28/19 18:48,3/8/19 17:23,Used,1.3.6.1.4.1.367.1.1,Static,No,,,,CO-11thflr-DATA-102,10.10.13.10,24,255.255.255.0
10.10.13.11,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.11,24,255.255.255.0
10.10.13.12,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.12,24,255.255.255.0
10.10.13.13,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.13,24,255.255.255.0
10.10.13.14,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.14,24,255.255.255.0
10.10.13.15,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.15,24,255.255.255.0
10.10.13.16,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.16,24,255.255.255.0
10.10.13.17,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.17,24,255.255.255.0
10.10.13.18,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.18,24,255.255.255.0
10.10.13.19,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.19,24,255.255.255.0
10.10.13.20,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.20,24,255.255.255.0
10.10.13.21,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.21,24,255.255.255.0
10.10.13.22,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.22,24,255.255.255.0
10.10.13.23,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.23,24,255.255.255.0
10.10.13.24,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.24,24,255.255.255.0
10.10.13.25,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.25,24,255.255.255.0
10.10.13.26,,at6995.sifbaksh.com,,,,,,,,,39,,3/8/19 17:23,Used,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.26,24,255.255.255.0
10.10.13.27,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.27,24,255.255.255.0
10.10.13.28,,at6967.sifbaksh.com,,,,,,,,,35,,3/8/19 17:23,Used,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.28,24,255.255.255.0
10.10.13.29,,at-6991.sifbaksh.com,,,,,,,,,36,,3/8/19 17:23,Used,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.29,24,255.255.255.0
10.10.13.30,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.30,24,255.255.255.0
10.10.13.31,,at7143.sifbaksh.com,,,,,,,,,35,,3/8/19 17:23,Used,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.31,24,255.255.255.0
10.10.13.32,,at6945.sifbaksh.com,,,,,,,,,35,,3/8/19 17:23,Used,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.32,24,255.255.255.0
10.10.13.33,,at7025.sifbaksh.com,,,,,,,,,36,,3/7/19 17:23,Transient,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.33,24,255.255.255.0
10.10.13.34,,at7036.sifbaksh.com,,,,,,,,,35,,3/8/19 17:23,Used,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.34,24,255.255.255.0
10.10.13.35,,,,,,,,,,,35,,3/4/19 17:23,Transient,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.35,24,255.255.255.0
10.10.13.36,,at7050.sifbaksh.com,,,,,,,,,35,,3/8/19 17:23,Used,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.36,24,255.255.255.0
10.10.13.37,,at7744.sifbaksh.com,,,,,,,,,35,,3/8/19 17:23,Used,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.37,24,255.255.255.0
10.10.13.38,,at4017.sifbaksh.com,,,,,,,,,35,,3/8/19 17:23,Used,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.38,24,255.255.255.0
10.10.13.39,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.39,24,255.255.255.0
10.10.13.40,,at7098.sifbaksh.com,,,,,,,,,35,,3/8/19 17:23,Used,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.40,24,255.255.255.0
10.10.13.41,,at7102.sifbaksh.com,,,,,,,,,35,,3/8/19 17:23,Used,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.41,24,255.255.255.0
10.10.13.42,,at7039.sifbaksh.com,,,,,,,,,35,,3/8/19 17:23,Used,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.42,24,255.255.255.0
10.10.13.43,,at6867.sifbaksh.com,,,,,,,,,35,,3/8/19 17:23,Used,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.43,24,255.255.255.0
10.10.13.44,,at8004.sifbaksh.com,,,,,,,,,35,,3/7/19 21:23,Transient,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.44,24,255.255.255.0
10.10.13.45,,at3383.sifbaksh.com,,,,,,,,,35,,3/7/19 13:23,Transient,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.45,24,255.255.255.0
10.10.13.46,,,,,,,,,,,35,,3/4/19 17:23,Transient,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.46,24,255.255.255.0
10.10.13.47,,at6851.sifbaksh.com,,,,,,,,,35,,3/8/19 17:23,Used,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.47,24,255.255.255.0
10.10.13.48,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.48,24,255.255.255.0
10.10.13.49,,at3377.sifbaksh.com,,,,,,,,,35,,3/8/19 17:23,Used,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.49,24,255.255.255.0
10.10.13.50,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.50,24,255.255.255.0
10.10.13.51,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.51,24,255.255.255.0
10.10.13.52,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.52,24,255.255.255.0
10.10.13.53,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.53,24,255.255.255.0
10.10.13.54,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.54,24,255.255.255.0
10.10.13.55,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.55,24,255.255.255.0
10.10.13.56,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.56,24,255.255.255.0
10.10.13.57,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.57,24,255.255.255.0
10.10.13.58,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.58,24,255.255.255.0
10.10.13.59,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.59,24,255.255.255.0
10.10.13.60,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.60,24,255.255.255.0
10.10.13.61,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.61,24,255.255.255.0
10.10.13.62,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.62,24,255.255.255.0
10.10.13.63,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.63,24,255.255.255.0
10.10.13.64,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.64,24,255.255.255.0
10.10.13.65,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.65,24,255.255.255.0
10.10.13.66,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.66,24,255.255.255.0
10.10.13.67,,,,,,,,,,,,,,Available,,Static,No,,,,CO-11thflr-DATA-102,10.10.13.67,24,255.255.255.0
