IP Address,MAC Address,Hostname,DHCP Client Name,System Name,Description,Contact,System Location,Vendor,Machine Type,Comments,Response Time,Last Boot Time,Last Synchronization,Status,System Object ID,Type,Skip Scan,Alias,Lease Expiration,Dual Stack IPv6 Address,Subnet Display Name,Subnet Address,Subnet CIDR,Subnet Mask
10.10.12.0,,,,,,,,,,Subnet Address,,,,Reserved,,Static,Yes,,,,CO-9thFlr-DATA-101,10.10.12.0,24,255.255.255.0
10.10.12.1,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.1,24,255.255.255.0
10.10.12.2,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.2,24,255.255.255.0
10.10.12.3,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.3,24,255.255.255.0
10.10.12.4,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.4,24,255.255.255.0
10.10.12.5,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.5,24,255.255.255.0
10.10.12.6,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.6,24,255.255.255.0
10.10.12.7,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.7,24,255.255.255.0
10.10.12.8,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.8,24,255.255.255.0
10.10.12.9,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.9,24,255.255.255.0
10.10.12.10,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.10,24,255.255.255.0
10.10.12.11,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.11,24,255.255.255.0
10.10.12.12,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.12,24,255.255.255.0
10.10.12.13,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.13,24,255.255.255.0
10.10.12.14,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.14,24,255.255.255.0
10.10.12.15,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.15,24,255.255.255.0
10.10.12.16,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.16,24,255.255.255.0
10.10.12.17,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.17,24,255.255.255.0
10.10.12.18,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.18,24,255.255.255.0
10.10.12.19,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.19,24,255.255.255.0
10.10.12.20,,,,,,,,,,,,,,Available,,Static,Yes,,,,CO-9thFlr-DATA-101,10.10.12.20,24,255.255.255.0
10.10.12.21,,,,,,,,,,Printers moved,,,1/11/19 15:43,Used,,Static,Yes,,,,CO-9thFlr-DATA-101,10.10.12.21,24,255.255.255.0
10.10.12.22,,,,,,,,,,Printers moved,,,1/11/19 15:53,Used,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.22,24,255.255.255.0
10.10.12.23,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.23,24,255.255.255.0
10.10.12.24,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.24,24,255.255.255.0
10.10.12.25,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.25,24,255.255.255.0
10.10.12.26,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.26,24,255.255.255.0
10.10.12.27,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.27,24,255.255.255.0
10.10.12.28,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.28,24,255.255.255.0
10.10.12.29,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.29,24,255.255.255.0
10.10.12.30,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.30,24,255.255.255.0
10.10.12.31,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.31,24,255.255.255.0
10.10.12.32,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.32,24,255.255.255.0
10.10.12.33,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.33,24,255.255.255.0
10.10.12.34,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.34,24,255.255.255.0
10.10.12.35,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.35,24,255.255.255.0
10.10.12.36,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.36,24,255.255.255.0
10.10.12.37,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.37,24,255.255.255.0
10.10.12.38,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.38,24,255.255.255.0
10.10.12.39,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.39,24,255.255.255.0
10.10.12.40,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.40,24,255.255.255.0
10.10.12.41,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.41,24,255.255.255.0
10.10.12.42,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.42,24,255.255.255.0
10.10.12.43,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.43,24,255.255.255.0
10.10.12.44,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.44,24,255.255.255.0
10.10.12.45,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.45,24,255.255.255.0
10.10.12.46,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.46,24,255.255.255.0
10.10.12.47,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.47,24,255.255.255.0
10.10.12.48,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.48,24,255.255.255.0
10.10.12.49,,,,,,,,,,,,,,Available,,Static,No,,,,CO-9thFlr-DATA-101,10.10.12.49,24,255.255.255.0
10.10.12.50,FC-4D-D4-41-79-D9,,AT-7781.sifbaksh.com,,,,,"Universal Global Scientific Industrial Co., Ltd.",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/13/19 1:28,,CO-9thFlr-DATA-101,10.10.12.50,24,255.255.255.0
10.10.12.51,FC-4D-D4-41-74-00,,AT7755.sifbaksh.com,,,,,"Universal Global Scientific Industrial Co., Ltd.",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 13:00,,CO-9thFlr-DATA-101,10.10.12.51,24,255.255.255.0
10.10.12.52,94-C6-91-79-2F-63,,AT4057.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 13:16,,CO-9thFlr-DATA-101,10.10.12.52,24,255.255.255.0
10.10.12.53,50-7B-9D-61-F0-A3,,AT6880.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 14:59,,CO-9thFlr-DATA-101,10.10.12.53,24,255.255.255.0
10.10.12.54,E8-9A-8F-60-C1-D9,,AT-7359.sifbaksh.com,,,,,Quanta Computer Inc.,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/13/19 1:28,,CO-9thFlr-DATA-101,10.10.12.54,24,255.255.255.0
10.10.12.55,FC-4D-D4-41-74-ED,,AT-7746.sifbaksh.com,,,,,"Universal Global Scientific Industrial Co., Ltd.",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 14:02,,CO-9thFlr-DATA-101,10.10.12.55,24,255.255.255.0
10.10.12.56,D4-3D-7E-58-72-AA,,AT7453.sifbaksh.com,,,,,"Micro-Star Int'l Co, Ltd",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/14/19 20:02,,CO-9thFlr-DATA-101,10.10.12.56,24,255.255.255.0
10.10.12.57,94-C6-91-79-2F-6F,,AT4068.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 13:36,,CO-9thFlr-DATA-101,10.10.12.57,24,255.255.255.0
10.10.12.58,FC-4D-D4-41-73-8D,,AT-7802.sifbaksh.com,,,,,"Universal Global Scientific Industrial Co., Ltd.",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 11:57,,CO-9thFlr-DATA-101,10.10.12.58,24,255.255.255.0
10.10.12.59,8C-89-A5-1F-E7-FF,,AT6750.sifbaksh.com,,,,,"Micro-Star INT'L CO., LTD",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 13:13,,CO-9thFlr-DATA-101,10.10.12.59,24,255.255.255.0
10.10.12.60,D4-3D-7E-30-C4-DE,,AT7596.sifbaksh.com,,,,,"Micro-Star Int'l Co, Ltd",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/13/19 21:04,,CO-9thFlr-DATA-101,10.10.12.60,24,255.255.255.0
10.10.12.61,E8-9A-8F-60-79-FE,,AT--7349.sifbaksh.com,,,,,Quanta Computer Inc.,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 11:58,,CO-9thFlr-DATA-101,10.10.12.61,24,255.255.255.0
10.10.12.62,94-C6-91-79-2F-85,,AT8003.sifbaksh.com,,,,,Unknown,,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 0:47,,CO-9thFlr-DATA-101,10.10.12.62,24,255.255.255.0
10.10.12.63,FC-4D-D4-41-95-5B,,AT-7760.sifbaksh.com,,,,,"Universal Global Scientific Industrial Co., Ltd.",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 13:17,,CO-9thFlr-DATA-101,10.10.12.63,24,255.255.255.0
10.10.12.64,FC-4D-D4-41-79-7D,,AT7793.sifbaksh.com,,,,,"Universal Global Scientific Industrial Co., Ltd.",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/13/19 1:29,,CO-9thFlr-DATA-101,10.10.12.64,24,255.255.255.0
10.10.12.65,FC-4D-D4-41-72-C0,,AT-7788.sifbaksh.com,,,,,"Universal Global Scientific Industrial Co., Ltd.",,,,,3/8/19 17:17,Used,,Dynamic,No,,3/15/19 14:29,,CO-9thFlr-DATA-101,10.10.12.65,24,255.255.255.0
